id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year,artist_id_clean
0rTUAMd7huYjda84aceuzl,Дети проходных дворов,21,105015,0,['Kino'],['2jkl2xJVm71azWAgZKyf42'],1985-01-01,0.89,0.668,9,-10.044,0,0.0533,0.57,1.63e-06,0.0591,0.942,137.934,4,1985,2jkl2xJVm71azWAgZKyf42
4bMy8NjgkVHize43OSrChu,95,37,234800,0,['Picture This'],['7jLSEPYCYQ5ssWU3BICqrW'],2017-08-25,0.663,0.551,1,-6.445,1,0.028,0.697,0.0,0.18,0.339,128.992,4,2017,7jLSEPYCYQ5ssWU3BICqrW
4X1xn2bjxlaLbx6o3jSEXj,As almal ver is,10,147733,0,['Koos Du Plessis'],['4utxbudXUuseiCfVJ0B2xM'],1992-01-01,0.376,0.0979,2,-18.28,1,0.035,0.485,0.000577,0.115,0.236,90.29,3,1992,4utxbudXUuseiCfVJ0B2xM
3ZwzDf7V1xlAS9WWuviqIm,"Il tuo mondo (Nono, dobri moj nono)",29,194373,0,['Claudio Villa'],['2r4iOKmxTQU9s361Yt3gq1'],1969-01-01,0.565,0.327,5,-13.843,1,0.0295,0.781,1.08e-05,0.131,0.556,103.256,3,1969,2r4iOKmxTQU9s361Yt3gq1
712Hktc9DnU5u9uOSn1q1Y,Bazaar - Official Sunburn Goa 2015 Anthem,55,172500,0,"['KSHMR', 'Marnik']","['2wX6xSig4Rig5kZU6ePlWe', '6S3KljEiIOWoLMUyZrkQUc']",2015-12-25,0.582,0.979,11,-2.492,0,0.0714,0.125,0.00152,0.339,0.196,128.01,4,2015,2wX6xSig4Rig5kZU6ePlWe
1GsTKrmhlHj6pRboLb32yU,Midnight the Stars & You,0,210203,0,['Ray Noble'],['5ZCIBTruXBxbtCZ0IztQWI'],1933-01-01,0.374,0.418,5,-7.796,1,0.0328,0.977,0.88,0.117,0.577,135.376,4,1933,5ZCIBTruXBxbtCZ0IztQWI
1wKGcCEhSFSe2CY9nfQlBR,לא יפריד דבר,40,163147,0,['Danny Sanderson'],['0OfuapV80g1NlUKppYoArt'],2009-11-22,0.37,0.312,11,-9.669,1,0.0331,0.888,1.32e-05,0.123,0.443,203.24,4,2009,0OfuapV80g1NlUKppYoArt
3j4YIGtMRPCxzbq56tvQ6H,"Viola da gamba Sonata in G Minor, BWV 1029: II. Adagio",0,400133,0,"['Johann Sebastian Bach', 'Pablo Casals', 'Paul Baumgartner']","['5aIqB5nVVvmFsvSdExz408', '42ZCvzken6DllCB1xghinZ', '7iDIvzrFR2n2v9Ve4ssKPe']",1950-01-01,0.104,0.102,5,-20.951,1,0.0462,0.992,0.853,0.128,0.123,75.924,4,1950,5aIqB5nVVvmFsvSdExz408
2TOpsfIPGZNtuuQpBwX6Af,אין יותר טוב מזה,37,211409,0,['Peled'],['26lUUiDmS9zj1LOOCkZUiS'],2017-04-24,0.648,0.75,1,-5.718,1,0.246,0.0483,0.0,0.752,0.628,93.1,4,2017,26lUUiDmS9zj1LOOCkZUiS
3fFw9j5oxF9uPE4qTit3FL,"Pal Pal Dil Ke Paas - From ""Blackmail""",42,327160,0,['Kishore Kumar'],['0GF4shudTAFv8ak9eWdd4Y'],2013-01-01,0.474,0.508,10,-6.564,0,0.0368,0.562,1.86e-06,0.0812,0.512,120.948,4,2013,0GF4shudTAFv8ak9eWdd4Y
13kkz0kzGgN45EVaIbLekY,Avalukkum Thamizhendru Per,6,235787,0,['T. M. Soundararajan'],['4y01WeCT5mNIAYRPjJ4sgj'],1965-12-31,0.34,0.327,11,-11.73,0,0.0318,0.979,0.00242,0.143,0.574,154.595,3,1965,4y01WeCT5mNIAYRPjJ4sgj
0EddM9nR6tRe668bjTFkJE,Drugs can't kill teens,31,274167,0,['Dragon Ash'],['2wDlv5Qp9pffOqnO4vdn8L'],1999-01-01,0.414,0.784,11,-5.083,1,0.188,0.0294,7.65e-05,0.0897,0.537,179.848,4,1999,2wDlv5Qp9pffOqnO4vdn8L
0UFgUsGSkjVKkjVPVESxP0,Gelincik Çılgın Aşkım,31,156840,0,['Kıraç'],['4XYD8wP6f1sfLtWfrY1luF'],2008-01-01,0.494,0.531,5,-5.844,0,0.0385,0.766,3.31e-05,0.34,0.565,62.615,4,2008,4XYD8wP6f1sfLtWfrY1luF
5ghCYD1YiNJNdzewWYY9G9,Mér er sama,7,170680,0,['Big Nós Band'],['34iRwwZIU5rVgjHzvkafG9'],1983-01-01,0.655,0.323,0,-16.479,1,0.0655,0.256,0.000453,0.049,0.443,139.637,4,1983,34iRwwZIU5rVgjHzvkafG9
4K3UvQ4zbIeYS9g5VW7DEy,Nine Pound Hammer - Live,26,186120,0,['Townes Van Zandt'],['3ZWab2LEVkNKiBPIClTwof'],1977-01-01,0.581,0.185,4,-20.281,1,0.0324,0.911,0.0605,0.688,0.551,137.657,4,1977,3ZWab2LEVkNKiBPIClTwof
3RpRZ7Kr9C7KxwZisoN20w,Lal Pari,28,195867,0,"['Amar Singh Chamkila', 'Amarjot']","['2yZ5VRE8Cy4H81VL9biNbQ', '3cE16YWyzYxHOfnm64kKgg']",2004-09-30,0.485,0.845,0,-10.985,1,0.186,0.183,0.0,0.148,0.65,184.839,4,2004,2yZ5VRE8Cy4H81VL9biNbQ
5EtatXh9iZ8WedmEINyqoM,Funky Chunky,31,253173,0,['Peter Green'],['3y1DgnVXqckGJrbwOKchdU'],1979-01-01,0.583,0.319,1,-20.044,1,0.0457,0.0931,0.52,0.0426,0.939,94.755,4,1979,3y1DgnVXqckGJrbwOKchdU
5GpCWZKOjDKXIprbCQn9ef,Diva,30,189933,0,['Cir.Cuz'],['2FHOS0GkJv3EyT8a9BhP9E'],2011-10-17,0.672,0.981,8,-0.67,1,0.161,0.022,7.11e-06,0.252,0.962,144.016,4,2011,2FHOS0GkJv3EyT8a9BhP9E
3UhBX04iog6VsV8PMbpreo,Bonita,0,265933,0,"['J Balvin', 'Jowell & Randy']","['1vyhD5VmyZ7KMfW5gqLgo5', '4IMAo2UQchVFyPH24PAjUs']",2021-04-14,0.774,0.873,5,-1.587,0,0.0418,0.0153,0.00506,0.293,0.845,96.033,4,2021,1vyhD5VmyZ7KMfW5gqLgo5
6x895Kl7tnzEm3zxPjknX3,ขอ,23,241760,0,['Paradox'],['32bq0Oy4ygWPR5ItUM5J5M'],2012-12-07,0.599,0.645,0,-8.792,1,0.0344,0.0698,0.00199,0.134,0.399,169.99,4,2012,32bq0Oy4ygWPR5ItUM5J5M
6jiwie4Qw3EonMe0wa481T,Miracle,8,230667,0,"['麥潔文', 'Leslie Cheung']","['46tpseiymQBCWvS7nes8RP', '2g0QLUYku8AuPVK2udRV7i']",1986-01-01,0.634,0.382,8,-12.114,1,0.035,0.678,0.0,0.152,0.323,139.756,4,1986,46tpseiymQBCWvS7nes8RP
3wPvDf9h1iJAW2c3581UZO,Beni Aldattın,42,245733,0,['Asya'],['65D2U3HYsHE0RIZ80hCaF2'],1996-01-01,0.645,0.399,5,-15.384,0,0.114,0.433,0.0,0.189,0.544,80.072,4,1996,65D2U3HYsHE0RIZ80hCaF2
0LXtClTgIGlwo73GRfAFta,Sa'ah Nattarni,19,122331,0,['Ziad Rahbani'],['56F07EgoDt7uxzQUb6HZnT'],1994-01-01,0.548,0.306,2,-13.584,0,0.0646,0.912,1.45e-05,0.393,0.712,138.021,4,1994,56F07EgoDt7uxzQUb6HZnT
2KWZ8Az5GyIDMrSVtdGmzm,Lo Que Pienso De Ti,51,213067,0,['Banda Carnaval'],['6LOvxDn71T0wWhCDNcXcUj'],2011-01-01,0.608,0.546,0,-3.21,1,0.0328,0.135,1.51e-06,0.0995,0.793,139.798,3,2011,6LOvxDn71T0wWhCDNcXcUj
65VFhuessiHOHUn8f2FIEF,My One And Only Love,13,268453,0,['Lorez Alexandria'],['5FxVAiCRSETyMMPV8MDaHY'],1964-01-01,0.4,0.0382,5,-20.073,0,0.0533,0.965,0.000143,0.11,0.178,92.509,1,1964,5FxVAiCRSETyMMPV8MDaHY
0qrgV5In5zGNVUsti20wl7,Als Je Alles Weet,43,251267,0,['Andre Hazes'],['04MtOUkmIDC4LAxDDBjrOY'],2012-01-01,0.442,0.588,3,-6.236,1,0.0333,0.132,0.0,0.131,0.235,139.878,4,2012,04MtOUkmIDC4LAxDDBjrOY
6ViHJWtyRUt8sn8Kr5MLt7,Gönül Yarası,0,203811,0,['Nedime Ve Munevver Birses'],['0qF2xV5OH7s18uNYmixQfk'],1947-04-17,0.32,0.385,2,-6.135,1,0.0344,0.983,0.000281,0.242,0.317,114.761,5,1947,0qF2xV5OH7s18uNYmixQfk
3kyW3qviTr2dIyvqa1lEWC,Sweet Sixteen - Remastered,53,254733,0,['Billy Idol'],['7lzordPuZEXxwt9aoVZYmG'],2001-01-01,0.585,0.666,9,-11.45,0,0.0352,0.441,0.0517,0.162,0.673,156.366,4,2001,7lzordPuZEXxwt9aoVZYmG
63XJqys3SyNGLHxeA5Ufda,Independent gyal,40,188501,0,"['Kalash', 'Pompis']","['3J7r4VsNmuWixU0nXvyPd8', '5MvTyp1ILPh1FZupAcFffI']",2013-05-06,0.621,0.744,9,-3.935,0,0.398,0.367,0.0,0.0845,0.499,113.642,5,2013,3J7r4VsNmuWixU0nXvyPd8
4H0gMFLC3T6Nvg3sKivP2j,Sin Rencores,32,194373,0,['Ekhymosis'],['4gOoiVWzfjPtXK3ohuEy0M'],1997-01-01,0.648,0.921,6,-6.702,1,0.0287,0.124,0.0,0.029,0.955,98.851,4,1997,4gOoiVWzfjPtXK3ohuEy0M
